27/07/20 20:05
Données du projet

                           	Segments	  Mots	Caractères (sans espaces)	Caractères (avec espaces)	Nombre de fichiers	
Total :                    	   33721	150081	                   960554	                  1051923	               112	
Restants :                 	   33721	150081	                   960554	                  1051923	               112	
Segments uniques :         	    6923	 51246	                   279205	                   319346	               110	
Segments uniques restants :	    6923	 51246	                   279205	                   319346	               110	


Statistiques par fichiers :

Nom du fichier                                              	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
scenario_dlc/Subsidiary/Success_in_IPO.txt                  	            54	               54	              12	                       12	       262	          262	         138	                  138	                           1668	                              1668	                              741	                                       741	                           1836	                              1836	                              855	                                       855	
scenario_dlc/Subsidiary/Supercharging_ROI.txt               	            54	               54	              14	                       14	       253	          253	         136	                  136	                           1702	                              1702	                              814	                                       814	                           1861	                              1861	                              922	                                       922	
scenario_dlc/Subsidiary/The_Master_of_Capital.txt           	            55	               55	              16	                       16	       241	          241	         129	                  129	                           1641	                              1641	                              787	                                       787	                           1785	                              1785	                              883	                                       883	
script/autosave every 10 days.txt                           	             6	                6	               4	                        4	        28	           28	          25	                   25	                            253	                               253	                              231	                                       231	                            273	                               273	                              250	                                       250	
script/autosave every 15 minutes.txt                        	             6	                6	               3	                        3	        34	           34	          31	                   31	                            281	                               281	                              159	                                       159	                            307	                               307	                              184	                                       184	
script/from users/10 cities.txt                             	            35	               35	              25	                       25	       239	          239	         208	                  208	                           1249	                              1249	                             1055	                                      1055	                           1445	                              1445	                             1238	                                      1238	
script/sample scripts/sample_script_challenge_game.txt      	            11	               11	               7	                        7	        78	           78	          67	                   67	                            446	                               446	                              384	                                       384	                            512	                               512	                              445	                                       445	
script/sample scripts/sample_script_cities.txt              	            31	               31	              20	                       20	       215	          215	         185	                  185	                           1052	                              1052	                              883	                                       883	                           1222	                              1222	                             1042	                                      1042	
script/sample scripts/sample_script_competitors.txt         	            36	               36	              25	                       25	       276	          276	         237	                  237	                           1619	                              1619	                             1353	                                      1353	                           1853	                              1853	                             1568	                                      1568	
script/sample scripts/sample_script_environment.txt         	            35	               35	               1	                        1	       239	          239	           4	                    4	                           1248	                              1248	                               21	                                        21	                           1444	                              1444	                               23	                                        23	
script/sample scripts/sample_script_goals.txt               	            55	               55	              35	                       35	       348	          348	         307	                  307	                           2052	                              2052	                             1550	                                      1550	                           2321	                              2321	                             1800	                                      1800	
script/sample scripts/sample_script_imports.txt             	            15	               15	               9	                        9	       101	          101	          84	                   84	                            555	                               555	                              445	                                       445	                            633	                               633	                              516	                                       516	
script/sample scripts/sample_script_main_goal.txt           	            72	               72	              46	                       46	       469	          469	         409	                  409	                           3026	                              3026	                             2286	                                      2286	                           3408	                              3408	                             2637	                                      2637	
script/sample scripts/sample_script_player_expertise.txt    	            17	               17	              14	                       14	       133	          133	         101	                  101	                            716	                               716	                              567	                                       567	                            827	                               827	                              648	                                       648	
script/sample scripts/sample_script_special_rules.txt       	            49	               49	              40	                       40	       414	          414	         400	                  400	                           2139	                              2139	                             2057	                                      2057	                           2501	                              2501	                             2410	                                      2410	
